,0
0,0.503077149391
1,5.02489805222
2,12520.0214844
3,1.63743746281
4,2.47300243378
5,1.40448856354
6,4.28347492218
7,13107.3574219
8,25048.8457031
9,12500.4277344
10,37363.8203125
11,43.6959609985
12,144.101333618
13,12308.9375
14,26.355091095
15,182.182067871
16,355.582763672
17,11778.5654297
18,146.619491577
19,249.194366455
20,429.184387207
21,19.6124229431
22,141.83921814
23,21.1658554077
24,42.414024353
25,12973.0634766
26,66.4268035889
27,30.2389678955
28,25.5764045715
29,9.20635890961
30,14.9749727249
31,10.5293035507
32,14.985458374
33,11.1527042389
34,7.19532489777
35,12.3495445251
36,19.7563438416
37,9.25352191925
38,12487.2880859
39,12.029668808
40,11.1358089447
41,37.1193962097
42,48.0157165527
43,10.3361120224
44,56.6947517395
45,10.7206077576
46,12089.0644531
47,84.1979904175
48,23.8324584961
49,12.5257358551
50,61.0162353516
51,139.550643921
52,15174.7050781
53,60.3234558105
54,135.507049561
55,37.7009468079
56,24745.46875
57,118.707351685
58,56.1475028992
59,22.2700500488
60,64.5808181763
61,43.9352836609
62,18.5699119568
63,40.0468902588
64,42.4786148071
65,11362.2695312
66,34.3763771057
67,51.1315727234
68,22.9074192047
69,14248.3144531
70,37.3797912598
71,11454.5488281
72,24.7444667816
73,52.4710273743
74,13612.8300781
75,38.3692512512
76,14058.6015625
77,81.2784805298
78,37.3000793457
79,35.252281189
80,12066.9970703
81,245.723022461
82,12641.5253906
83,148.345291138
84,97.4814758301
85,11333.6328125
86,23534.6601562
87,490.528564453
88,769.739868164
89,552.318908691
90,15005.2763672
91,938.382995605
92,10698.3212891
93,438.553405762
94,358.958190918
95,86.8364639282
96,12153.7167969
97,36.4788780212
98,48.6511993408
99,11809.6933594
100,46.0444259644
101,25082.9648438
102,43.8739547729
103,101.616783142
104,72.9276275635
105,68.1259765625
106,34.1278915405
107,97.6696090698
108,95.1962738037
109,89.7942047119
110,44.6158218384
111,83.1751556396
112,80.6387176514
113,62.8852920532
114,84.2736358643
115,82.3882446289
116,51.9785041809
117,52.431892395
118,64.867225647
119,59.5970458984
120,48.0150985718
121,31.0648078918
122,42.4450798035
123,38.8992843628
124,30.4323310852
125,16.3870449066
126,38.1084480286
127,24.5157985687
128,8.87324047089
129,21.1049613953
130,28.8654785156
131,17.9598693848
132,19.1787452698
133,13.7425441742
134,26.3227348328
135,16.1176490784
136,17.5294437408
137,14.3329544067
138,15.3405714035
139,7.77937412262
140,6.88356876373
141,11.9141874313
142,3.03903198242
143,8.27948951721
144,9.04442024231
145,5.61630630493
146,3.47753572464
147,4.07841873169
148,2.33019042015
149,3.641528368
150,2.26482272148
151,7.50254535675
152,4.33034801483
153,3.44163966179
154,1.67926347256
155,2.31618928909
156,2.05329275131
157,1.90634989738
158,5.3658747673
159,15.9001617432
160,1.68661212921
161,3.65624380112
162,0.893696010113
163,1.87021291256
164,1.48232460022
165,1.45476567745
166,1.61834204197
167,2.73832893372
168,0.937030673027
169,0.986707091331
170,1.01656341553
171,2.58873414993
172,1.02652859688
173,1.23756194115
174,1.64845693111
175,0.481464087963
176,0.634355723858
177,3.99985742569
178,1.75303459167
179,1.77481710911
180,0.872673332691
181,2.47366070747
182,2.63988876343
183,1.36189591885
184,1.02759873867
185,0.82578599453
186,1.25157725811
187,1.67604279518
188,1.02985715866
189,0.880397975445
190,1.83407855034
191,14.9637832642
192,0.861560642719
193,1.10800385475
194,0.80124694109
195,0.847348570824
196,1.30570983887
197,0.834200024605
198,1.43013882637
199,1.27137684822
200,2.35725784302
201,1.13212060928
202,31.4375553131
203,0.255096226931
204,0.458313643932
205,0.70985853672
206,2.01341414452
207,1.11646974087
208,2.70026445389
209,1.96457386017
210,1.71485936642
211,0.696403741837
212,0.544834554195
213,0.85819798708
214,1.14825022221
215,1.44231629372
216,0.535364985466
217,0.72188949585
218,0.762489616871
219,0.912027239799
220,2.76771783829
221,2.14474797249
222,1.16845524311
223,0.671500742435
224,0.95194786787
225,2.09185361862
226,0.573050379753
227,0.941993832588
228,1.30816864967
229,0.994367599487
230,0.318477153778
231,1.82306325436
232,1.47260212898
233,1.75331020355
234,0.803699195385
235,1.43769729137
236,1.21086239815
237,1.08233320713
238,2.38671803474
239,1.41977345943
240,1.16372716427
241,2.25437879562
242,1.65844988823
243,0.834278702736
244,0.796481132507
245,1.25639891624
246,1.45616602898
247,0.391937106848
248,0.588317155838
249,1.38422560692
250,0.65573143959
251,1.31385970116
252,0.780048787594
253,0.239213511348
254,0.957197785378
255,1.1862719059
256,0.507951557636
257,0.500324249268
258,0.713014483452
259,1.73806762695
260,0.796311557293
261,0.598734498024
262,1.12811255455
263,0.891938328743
264,1.6081931591
265,1.00862026215
266,0.714321792126
267,1.01063358784
268,0.622849166393
269,1.01685738564
270,0.991719067097
271,0.91242569685
272,1.04792523384
273,1.751283288
274,1.32225346565
275,1.41422915459
276,0.687561154366
277,1.3627821207
278,0.0857703983784
279,0.364507436752
280,0.814200043678
281,0.713980674744
282,0.168929070234
283,0.97641813755
284,0.689114570618
285,0.548292934895
286,1.07313227654
287,1.13967633247
288,1.24604249001
